fold,era,arm,label,model,kind,n_train,n_test,ic_train,ic_oos,capture_all,capture_q5,q5_frac,auc_train,auc_oos,base_rate_test,topdec_tp_rate,topdec_frac
1,1,base5y,br_canon_long,logit,shuffle,31014,2887,,,,,,0.5119061510893109,0.5111575327993239,0.512642881884309,0.5370370370370371,0.1309317630758573
1,1,base5y,br_canon_long,hgb,real,31014,2887,,,,,,0.8721881867731269,0.5558755450546495,0.512642881884309,0.5887850467289719,0.07412538967786629
1,1,base5y,br_canon_long,hgb,shuffle,31014,2887,,,,,,0.8845314056859731,0.4830514416335312,0.512642881884309,0.5705128205128205,0.05403533079321095
1,1,base5y,br_canon_short,logit,real,31014,2887,,,,,,0.5706386178452325,0.5513861487045177,0.4793903706269484,0.5380116959064327,0.11846207135434707
1,1,base5y,br_canon_short,logit,shuffle,31014,2887,,,,,,0.5131130253961391,0.5041804637353424,0.4793903706269484,0.42657342657342656,0.09906477312088674
1,1,base5y,br_canon_short,hgb,real,31014,2887,,,,,,0.8747957887682185,0.5433838488725824,0.4793903706269484,0.5021645021645021,0.0800138552130239
1,1,base5y,br_canon_short,hgb,shuffle,31014,2887,,,,,,0.8847916720590445,0.49012139497498264,0.4793903706269484,0.4530386740331492,0.0626948389331486
1,1,base5y,br_modal_long,logit,real,31014,2887,,,,,,0.6680095835521535,0.6467523434136,0.07862833391063388,0.1758957654723127,0.10633875995843436
1,1,base5y,br_modal_long,logit,shuffle,31014,2887,,,,,,0.5226486038548572,0.4286525785830214,0.07862833391063388,0.0392156862745098,0.10599237963283685
1,1,base5y,br_modal_long,hgb,real,31014,2887,,,,,,0.986437411175123,0.6069540591567024,0.07862833391063388,0.18137254901960784,0.07066158642189124
1,1,base5y,br_modal_long,hgb,shuffle,31014,2887,,,,,,0.9681798166207399,0.48427014673247,0.07862833391063388,0.06224066390041494,0.08347765846899896
1,1,base5y,br_modal_short,logit,real,31014,2887,,,,,,0.6284983241124967,0.5718187116585616,0.11811569102874957,0.1810344827586207,0.0803602355386214
1,1,base5y,br_modal_short,logit,shuffle,31014,2887,,,,,,0.5274635574312247,0.5235778969022767,0.11811569102874957,0.1598639455782313,0.10183581572566679
1,1,base5y,br_modal_short,hgb,real,31014,2887,,,,,,0.9867509914687183,0.5254196681356299,0.11811569102874957,0.15637860082304528,0.08417041912019398
1,1,base5y,br_modal_short,hgb,shuffle,31014,2887,,,,,,0.9756046446345265,0.494406728512093,0.11811569102874957,0.10101010101010101,0.0685833044683062
