fold,era,feature,ic_oos
21,4,ret5_atr,-0.010043482526171866
21,4,tod_sin,-0.02519793536619126
21,4,tod_cos,0.047882498188311605
21,4,dow_sin,0.0008064870364861851
21,4,dow_cos,-0.02596672074948238
21,4,session_asia,0.0030169926193654504
21,4,session_london,-0.025631221453622226
21,4,session_newyork,0.01355291084826025
21,4,session_london_ny_overlap,0.018914475013265666
22,4,close_ema20_atr,0.018333191672554473
22,4,close_ema50_atr,0.009904484940087648
22,4,close_ema200_atr,0.024713934607559558
22,4,ema20_ema50_atr,-0.003783934721932632
22,4,macd_hist_atr,0.025462161763226725
22,4,roc20_atr,0.002922295157581218
22,4,atr_close,-0.0416947757289503
22,4,atr_fast_slow,-0.01802389772864201
22,4,bb_width_close,-0.04201490039548579
22,4,range_atr,0.019403784472441805
22,4,upper_wick_ratio,0.013979261462674659
22,4,lower_wick_ratio,-0.005185109318660721
22,4,ret1_atr,-0.0030986598144283396
22,4,ret2_atr,-0.009524079408519162
22,4,ret3_atr,0.005469844329046124
22,4,ret4_atr,0.01877334494027783
22,4,ret5_atr,0.024645772158014053
22,4,tod_sin,-0.03895961891288674
22,4,tod_cos,-0.019047186569839034
22,4,dow_sin,0.03278314241913654
22,4,dow_cos,-0.05485023127047737
22,4,session_asia,-0.03135472635296924
22,4,session_london,-0.0011078172296684122
22,4,session_newyork,0.046757823571151
22,4,session_london_ny_overlap,0.025092299263087963
23,4,close_ema20_atr,-0.0073357108729669275
23,4,close_ema50_atr,-0.010113775291193795
23,4,close_ema200_atr,0.001733345571374926
23,4,ema20_ema50_atr,-0.011806708434887615
23,4,macd_hist_atr,0.01081560266502263
23,4,roc20_atr,-0.029791067198330384
23,4,atr_close,0.010146134789626091
23,4,atr_fast_slow,0.01315699090237045
23,4,bb_width_close,-0.0016304966456127527
23,4,range_atr,-0.025260672509883838
23,4,upper_wick_ratio,0.02705759075450747
23,4,lower_wick_ratio,-0.009460877336608508
23,4,ret1_atr,-0.010107421274793547
23,4,ret2_atr,-0.010178547605282732
23,4,ret3_atr,-0.0068987327743185575
23,4,ret4_atr,-0.0045428671519655486
23,4,ret5_atr,0.003589126324735802
23,4,tod_sin,0.012873673995966457
23,4,tod_cos,0.019739222976820712
23,4,dow_sin,0.00986133555925037
23,4,dow_cos,-0.03540060463026405
23,4,session_asia,0.017507072865497884
23,4,session_london,-0.017035403678798695
23,4,session_newyork,-0.02322185959421465
23,4,session_london_ny_overlap,-0.02356126662439102
24,4,close_ema20_atr,-0.04840678013525342
24,4,close_ema50_atr,-0.06675689447817022
24,4,close_ema200_atr,-0.03276157839922663
24,4,ema20_ema50_atr,-0.07293707998278949
24,4,macd_hist_atr,-0.013402515561410675
24,4,roc20_atr,-0.0209219028234097
24,4,atr_close,0.023292416174091213
24,4,atr_fast_slow,0.01621874989645339
24,4,bb_width_close,0.09147227579746041
24,4,range_atr,-0.007552735736989425
24,4,upper_wick_ratio,0.02671857154671152
24,4,lower_wick_ratio,-0.02501052855974426
24,4,ret1_atr,-0.004995322916005596
24,4,ret2_atr,-0.0027478645571480833
24,4,ret3_atr,-0.013728750909397883
24,4,ret4_atr,-0.009480818703307923
24,4,ret5_atr,-0.021474744486366222
24,4,tod_sin,0.007482092014755386
24,4,tod_cos,0.0003314101875244447
24,4,dow_sin,-0.0019597297983147905
24,4,dow_cos,0.02330682672465552
24,4,session_asia,-0.02642740369299937
24,4,session_london,0.019216437495766715
24,4,session_newyork,3.3424940320498716e-05
24,4,session_london_ny_overlap,0.0029278178839799566
25,4,close_ema20_atr,-0.000778110292966905
25,4,close_ema50_atr,0.03779717712839882
25,4,close_ema200_atr,0.05486397796650445
25,4,ema20_ema50_atr,0.06593474124295749
25,4,macd_hist_atr,-0.06298963384170693
25,4,roc20_atr,0.030222891116540522
25,4,atr_close,0.04483000763237909
25,4,atr_fast_slow,0.03953553234324165
25,4,bb_width_close,0.03391480976105961
25,4,range_atr,-0.09548742249765543
25,4,upper_wick_ratio,-0.0032116597033312044
25,4,lower_wick_ratio,-0.0617712465340128
25,4,ret1_atr,0.026167572331732926
25,4,ret2_atr,0.022149888930196496
25,4,ret3_atr,0.02690918029749572
25,4,ret4_atr,0.0159070948654748
25,4,ret5_atr,-0.000796963747398256
25,4,tod_sin,-0.02649191274937405
25,4,tod_cos,0.12585699209917356
25,4,dow_sin,-0.024412067992086513
25,4,dow_cos,-0.08165526852764704
25,4,session_asia,0.02777116371457373
25,4,session_london,-0.10265409901707552
25,4,session_newyork,0.005706062491214033
25,4,session_london_ny_overlap,-0.060293776093532786
